2;38;3433.24;10.40;1703.00;-1.57;0.24
3;38;3369.88;9.95;1807.00;-1.57;0.28
4;38;3180.60;9.50;1858.00;-1.57;0.88
5;38;2898.56;9.50;1626.00;-1.57;0.84
6;38;3785.40;10.40;1733.00;-1.57;0.44
7;38;3278.52;10.70;1832.00;-1.57;0.28
8;38;3313.16;10.68;1676.00;-1.57;0.24
9;38;1972.96;9.50;228.00;-1.57;1.44
10;38;3001.88;12.05;1768.00;-1.57;0.32
11;38;3079.60;11.60;1872.00;-1.57;0.36
12;38;3507.16;9.80;1677.00;-1.57;0.24
13;38;1375.76;9.50;303.00;-1.57;1.36
14;38;2965.52;9.50;1724.00;-1.57;0.28
15;38;3291.96;11.02;1918.00;-1.57;0.36
16;38;5273.80;9.50;1552.00;-1.57;1.20
17;38;3073.77;9.90;1567.44;-1.57;0.28
18;38;3371.88;9.85;1797.00;-1.57;0.28
19;38;3891.08;9.50;651.00;-1.57;1.12
20;38;3141.00;9.50;1203.00;-1.57;0.72
21;38;2954.04;9.50;1816.00;-1.57;0.44
22;38;3172.48;9.79;2005.00;-1.57;0.36
23;38;3503.52;9.80;1710.00;-1.57;0.20
24;38;5245.40;9.50;500.00;-1.57;1.00
25;38;5358.80;9.50;1275.00;-1.57;1.20
26;38;3385.88;10.40;1796.00;-1.57;0.28
27;38;2958.60;12.42;1754.00;-1.57;0.36
28;38;4794.24;9.50;474.00;-1.57;0.92
29;38;4190.52;9.50;636.00;-1.57;0.80
30;38;3220.60;10.50;1878.00;-1.57;0.28
31;38;3617.16;10.50;1714.00;-1.57;0.24
32;38;3162.60;9.60;1768.00;-1.57;0.24
33;38;4474.36;9.50;357.00;-1.57;1.04
34;38;3953.36;9.50;785.00;-1.57;1.04
35;38;3065.52;9.65;1730.00;-1.57;0.28
36;38;3314.96;9.80;1860.00;-1.57;0.44
37;38;3257.32;9.50;1782.00;-1.57;0.20
38;38;3049.60;9.81;1927.00;-1.57;0.32
39;38;3364.88;10.50;1702.00;-1.57;0.24
40;38;3321.88;10.40;1785.00;-1.57;0.28
41;38;2238.92;9.50;119.00;-1.57;0.88
42;38;2450.52;9.50;303.00;-1.57;1.28
43;38;2425.16;9.50;968.00;-1.57;1.12
44;38;3111.32;9.65;1990.00;-1.57;0.40
45;38;3584.80;10.03;1718.00;-1.57;0.20
46;38;3046.96;11.34;1815.00;-1.57;0.24
47;38;2353.08;9.50;1535.00;-1.57;1.12
48;38;1483.16;9.50;2017.00;-1.57;1.12
49;38;3060.24;10.82;1762.00;-1.57;0.32
50;38;1122.28;9.50;69.00;-1.57;1.28
51;38;33.72;9.50;419.00;-1.57;1.08
52;38;3260.16;10.04;1766.00;-1.57;0.20
53;38;2898.16;9.81;1706.00;-1.57;0.24
54;38;13.32;9.50;1261.00;-1.57;0.48
55;38;322.92;9.50;1591.00;-1.57;1.44
56;38;405.00;9.50;682.00;-1.57;1.00
57;38;3331.88;9.78;1735.00;-1.57;0.24
58;38;3073.96;13.70;1909.00;-1.57;0.36
59;38;1413.40;9.50;615.00;-1.57;1.44
60;38;3369.88;10.65;1750.00;-1.57;0.28
61;38;3164.32;11.31;1934.00;-1.57;0.44
62;38;3449.16;10.36;1697.00;-1.57;0.24
63;38;3174.96;10.04;1808.00;-1.57;0.32
64;38;3272.68;9.70;1996.00;-1.57;0.24
65;38;2908.24;12.51;1735.00;-1.57;0.36
66;38;3175.88;9.66;1828.00;-1.57;0.24
67;38;3207.60;9.60;1760.00;-1.57;0.28
68;38;2880.08;9.70;1566.00;-1.57;0.12
69;38;2998.24;10.42;1713.00;-1.57;0.28
70;38;3317.52;10.30;1733.00;-1.57;0.28
71;38;3303.52;10.10;1704.00;-1.57;0.28
72;38;3436.24;10.36;1760.00;-1.57;0.36
73;38;3514.52;9.80;1698.00;-1.57;0.20
74;38;3279.32;10.50;1933.00;-1.57;0.48
75;38;3435.88;10.38;1744.00;-1.57;0.28
76;38;3189.52;12.15;1987.00;-1.57;0.28
77;38;3013.24;11.62;1756.00;-1.57;0.36
